1101,1,6131670,6.75,1,9617393,56.85,9617393,56.85,,2,5964991,64.23,2,4811678,19.33,14429071,19.28,,3,9083111,20.73,3,9750141,7.34,24179212,14.16,,4,8370478,15.36,4,11023422,31.69,35202634,19.13,,5,8485032,7.86,5,11539982,36.00,46742616,22.89,,6,7858569,0.58,6,10757628,36.89,57500244,25.29,,7,8034396,2.79,7,11013654,37.08,68513898,27.05,,8,6952639,6.74,8,,,,,,9,8071192,13.89,9,,,,,,10,8387381,1.53,10,,,,,,11,9985897,12.62,11,,,,,,12,10988149,16.66,12,,,,,
1102,1,4162130,17.84,1,6769986,62.66,6769986,62.66,,2,3049461,17.50,2,3408539,11.78,10178525,41.14,,3,5308954,0.55,3,6395353,20.46,16573879,32.37,,4,5218646,6.10,4,7188266,37.74,23762145,33.95,,5,5741517,7.52,5,7698165,34.08,31460310,33.98,,6,5331442,1.89,6,7549925,41.61,39010235,35.40,,7,5252149,9.67,7,7021279,33.68,46031514,35.13,,8,5478165,7.28,8,,,,,,9,5806573,14.34,9,,,,,,10,5840273,5.92,10,,,,,,11,6639248,24.52,11,,,,,,12,7070625,17.38,12,,,,,
1103,1,232657,17.90,1,172094,26.03,172094,26.03,,2,171513,19.48,2,125590,26.78,297684,26.35,,3,194614,2.91,3,173573,10.81,471257,21.26,,4,132940,33.83,4,170887,28.54,642144,12.21,,5,183810,46.26,5,185856,1.11,828000,9.53,,6,143629,48.23,6,172927,20.40,1000927,5.47,,7,153905,42.74,7,154429,0.34,1155356,4.74,,8,174704,11.20,8,,,,,,9,177734,35.91,9,,,,,,10,167398,44.03,10,,,,,,11,181868,48.54,11,,,,,,12,181112,52.71,12,,,,,
1104,1,363865,2.53,1,460482,26.55,460482,26.55,,2,308357,3.44,2,268120,13.05,728601,8.39,,3,428434,1.37,3,437497,2.12,1166097,5.95,,4,358213,16.25,4,385013,7.48,1551110,6.32,,5,381948,9.31,5,426170,11.58,1977280,7.41,,6,318948,13.98,6,337575,5.84,2314855,7.18,,7,357742,0.84,7,350896,1.91,2665751,5.89,,8,367333,5.54,8,,,,,,9,403016,37.27,9,,,,,,10,336159,12.71,10,,,,,,11,381565,7.05,11,,,,,,12,399796,13.81,12,,,,,
1108,1,316773,9.04,1,320340,1.13,320340,1.13,,2,232100,6.92,2,197481,14.92,517821,5.66,,3,343552,12.53,3,314840,8.36,832661,6.70,,4,292915,23.65,4,280705,4.17,1113366,6.07,,5,332953,14.90,5,294581,11.52,1407947,7.27,,6,243699,27.87,6,276298,13.38,1684245,4.41,,7,270234,19.75,7,264328,2.19,1948573,4.12,,8,293423,24.46,8,,,,,,9,267312,20.31,9,,,,,,10,259826,34.05,10,,,,,,11,258913,23.74,11,,,,,,12,291571,17.60,12,,,,,
1109,1,333060,1.68,1,475455,42.75,475455,42.75,,2,174572,27.26,2,182926,4.79,658381,29.70,,3,462370,15.57,3,402999,12.84,1061380,9.42,,4,481754,17.25,4,545209,13.17,1606589,10.67,,5,447188,13.42,5,625561,39.89,2232150,17.55,,6,418868,28.73,6,577408,37.85,2809558,21.22,,7,417078,35.05,7,618024,48.18,3427582,25.33,,8,487484,33.67,8,,,,,,9,521034,50.74,9,,,,,,10,377596,3.46,10,,,,,,11,673172,52.64,11,,,,,,12,581701,13.07,12,,,,,
1110,1,104003,25.89,1,153308,47.41,153308,47.41,,2,115850,15.91,2,97264,16.04,250572,13.97,,3,132814,7.29,3,161920,21.91,412492,16.96,,4,113910,22.14,4,117755,3.38,530247,13.65,,5,110025,20.39,5,142543,29.56,672790,16.68,,6,107913,9.64,6,119405,10.65,792195,15.73,,7,113787,0.23,7,157245,38.19,949440,18.93,,8,110747,7.48,8,,,,,,9,232565,178.34,9,,,,,,10,170205,54.00,10,,,,,,11,183382,33.03,11,,,,,,12,221910,55.81,12,,,,,
1201,1,1213521,0.03,1,1301271,7.23,1301271,7.23,,2,1127074,6.02,2,1220516,8.29,2521787,7.74,,3,1267283,2.04,3,1380961,8.97,3902748,8.17,,4,1331729,0.51,4,1497842,12.47,5400590,9.33,,5,1476996,9.70,5,1693716,14.67,7094306,10.56,,6,1536126,7.96,6,1720797,12.02,8815103,10.84,,7,1745969,1.66,7,1899582,8.80,10714685,10.48,,8,1785571,1.24,8,,,,,,9,1685062,0.78,9,,,,,,10,1559834,2.46,10,,,,,,11,1642814,26.67,11,,,,,,12,1345880,9.70,12,,,,,
1203,1,543487,1.68,1,497660,8.43,497660,8.43,,2,472692,1.73,2,452100,4.36,949760,6.54,,3,548853,7.26,3,506069,7.80,1455828,6.98,,4,456889,11.93,4,482643,5.64,1938471,4.13,,5,501143,6.47,5,526103,4.98,2464575,2.32,,6,501186,3.97,6,498245,0.59,2962820,2.03,,7,514755,3.71,7,476840,7.37,3439660,2.81,,8,561578,2.94,8,,,,,,9,543886,7.17,9,,,,,,10,513465,1.21,10,,,,,,11,493888,5.59,11,,,,,,12,571720,1.16,12,,,,,
1210,1,6274308,0.35,1,6653413,6.04,6653413,6.04,,2,5549618,2.08,2,5485976,1.15,12139389,2.67,,3,6686950,6.12,3,5059713,24.33,17199103,7.09,,4,6297791,10.15,4,5558027,11.75,22757130,8.27,,5,5986895,0.54,5,6115698,2.15,28872829,6.24,,6,5738622,8.52,6,5925107,3.25,34797936,4.75,,7,6158273,0.31,7,6059127,1.61,40857063,4.30,,8,6554870,1.01,8,,,,,,9,7052418,7.84,9,,,,,,10,6551300,0.75,10,,,,,,11,6490644,6.14,11,,,,,,12,7129396,2.29,12,,,,,
