1101,0.23,0.58,0.53,0.71,0.69,1.51,1.93,1.92,1.82,2.03,2.27,3.13,29.19,28.76,30.39,32.11,35.26,35.67,14.16,21.32,18.46,21.76,23.95,30.82,9.17,16.43,14.08,16.06,19.23,26.95,0.79,2.10,1.80,2.23,1.80,4.65,6.56,7.03,6.49,6.88,7.68,10.70,-20.22,16.69,-6.70,27.33,-17.64,37.81,19.50,7.72,3.17,10.59,14.16,34.83,3.86,1.90,0.75,2.94,3.05,8.50,3.40,7.83,9.05,9.77,8.91,15.96,-52.96,75.68,-19.19,50.07,-9.36,77.33,89.12,4.08,-14.16,0.22,93.10,94.93,7.86,1.07,-3.58,0.07,14.76,23.04,46.34,36.15,17.75,5.18,11.91,36.25,-61.16,109.14,-20.07,45.25,-1.36,93.07,301.26,7.69,-14.14,-5.69,139.53,121.12,11.18,2.00,-3.62,-2.00,19.40,29.50,71.22,58.65,28.34,7.13,15.04,46.06,-53.09,152.17,-8.62,33.42,-2.42,118.84,283.33,7.41,-15.87,44.24,200.00,160.34,11.99,-0.33,-5.10,11.42,12.03,37.43,36.74,43.95,6.20,18.02,18.07,62.79
1102,0.08,0.51,0.61,0.54,0.6,1.38,1.35,1.39,1.71,1.74,2.25,3.14,36.06,35.81,37.57,37.91,38.54,40.19,7.45,15.61,15.02,21.53,20.09,26.74,3.53,11.86,11.03,16.57,16.13,22.52,0.10,1.41,1.59,1.61,1.64,3.54,3.26,3.77,4.45,4.65,6.23,8.46,-25.71,30.25,1.47,18.21,-15.22,35.36,-4.04,1.68,9.98,16.08,32.46,37.66,-0.86,0.45,2.47,4.35,6.26,8.90,-5.54,-3.82,1.49,6.49,14.14,23.74,-68.14,173.00,-2.41,69.49,-20.91,80.21,-6.63,-1.84,19.91,43.88,257.16,135.77,-0.77,-0.56,4.87,14.45,23.57,27.49,32.62,17.36,14.07,18.42,47.47,89.08,-79.85,337.12,-5.61,77.55,-17.46,88.93,8.85,-1.78,23.28,47.62,504.61,161.32,0.59,-0.58,5.70,16.34,30.00,32.25,78.50,37.07,26.88,22.99,58.93,111.40,-84.38,537.50,19.61,-11.78,11.49,130.00,33.33,34.21,103.33,5.06,650.00,170.59,6.86,2.99,22.98,2.04,29.59,39.14,24.44,130.60,91.45,38.10,67.48,126.26
1103,-0.17,0.02,0.09,1.46,0.24,0.38,0.16,0.34,0.16,1.39,1.83,2.15,23.29,26.02,26.33,27.21,28.3,30.27,22.15,9.90,11.45,8.72,11.63,16.99,4.06,-16.36,-9.04,-25.02,-10.75,1.20,-0.66,0.13,0.40,5.20,0.82,1.36,0.59,1.11,0.59,5.57,6.78,7.54,-42.21,-23.07,9.98,4.75,-11.15,12.40,10.58,-43.87,-31.87,-48.78,-21.26,15.04,1.82,-11.25,-8.35,-19.42,-6.07,3.52,18.58,2.10,-12.54,-33.27,-38.44,-28.19,286.33,-65.62,27.20,-20.23,18.58,64.15,負轉正,66.96,56.03,34.76,-58.64,97.52,142.41,7.90,8.34,4.41,-27.53,21.72,負轉正,負轉正,219.85,195.87,-11.55,-0.22,負轉正,-410.05,負,負,負,負轉正,負轉正,負,負,負,-308.50,負轉正,負,負,負,負,負,負,-167.91,-169.74,-158.43,負,負,負,-173.24,負轉正,350.00,1518.72,-83.53,58.33,負,負轉正,-57.14,527.64,負轉正,1800.00,290.14,116.83,-53.25,778.69,31.37,17.62,-54.01,368.91,-79.72,3375.00,1070.13,534.76
1104,0.45,0.6,0.53,0.59,0.01,0.63,2.6,2.32,2.31,2.16,3.42,1.76,25.64,25.13,24.69,26.07,26.89,26.8,12.63,12.46,13.54,10.21,11.88,11.03,4.33,3.34,4.62,1.35,4.24,1.93,1.70,2.38,2.10,2.30,0.01,2.30,9.89,9.29,9.16,8.28,6.53,6.72,-12.61,-3.77,6.51,-0.94,4.35,-1.49,-0.47,-13.16,8.76,-11.27,5.95,8.46,-0.11,-3.48,2.04,-3.12,1.49,2.01,-6.58,-9.62,-4.38,-4.69,-3.17,2.33,-26.00,-5.09,15.79,-25.32,21.39,-8.52,20.41,-25.99,-4.88,-39.27,-0.37,-3.97,3.67,-6.96,-1.27,-12.06,-0.10,-0.97,22.66,0.65,-3.39,-16.25,-19.30,-14.10,-45.95,-25.74,47.11,-71.10,228.22,-55.13,50.61,-54.93,-23.41,-82.94,3.61,-37.40,6.01,-15.28,-6.65,-32.75,1.14,-8.72,56.62,1.92,-12.40,-43.62,-46.21,-42.04,-41.46,33.33,-11.67,11.91,-98.31,6200.00,-18.18,-25.93,-5.36,-22.84,-97.78,5.00,-2.97,-10.82,-0.25,-6.63,58.40,-48.43,10.70,-10.25,-12.97,-19.40,31.57,-23.91
1108,0.05,0.02,-0.02,-0.3,-0.1,0.0,0.61,0.3,0.14,-0.25,-2.5,-0.39,11.8,11.21,11.19,10.88,10.84,10.84,9.03,9.26,5.30,-9.11,2.47,4.91,3.15,2.53,-1.24,-16.66,-4.15,0.22,0.39,0.21,-0.17,-2.75,-0.14,-0.05,4.70,3.21,1.33,-2.23,-2.77,-3.11,-17.94,-3.06,-4.28,1.35,-1.06,2.26,-10.12,-21.79,-21.33,-22.83,-6.95,-1.85,-2.37,-5.83,-5.76,-6.76,-1.81,-0.47,-12.26,-13.02,-16.59,-19.21,-18.75,-14.13,-29.68,-0.68,-45.15,-274.14,負轉正,103.30,-57.63,-58.54,-72.98,-166.71,-74.56,-47.93,-16.60,-20.52,-27.09,-59.87,-46.92,-56.43,-32.90,-38.37,-54.26,-80.60,-87.65,-93.23,-54.43,-22.10,-146.88,負,負,負轉正,-78.81,-83.51,-110.47,-326.64,-222.65,-91.45,-24.59,-34.59,-51.63,-198.66,負,負,-39.32,-52.74,-76.32,-123.54,-150.73,-187.11,-51.27,-60.00,-200.00,負,負,負轉正,-80.77,-91.30,-110.00,-396.69,-300.00,-100.00,-21.19,-51.43,-51.68,-273.29,負,負,-41.42,-66.03,-83.07,-132.05,-506.15,-230.59
1109,0.09,0.33,0.3,0.6,0.34,0.35,0.56,0.7,0.95,1.32,1.61,1.62,14.19,14.48,15.09,15.73,16.17,16.35,14.40,22.31,19.82,32.65,22.71,33.25,5.60,13.81,12.71,26.54,13.71,27.83,0.71,2.86,2.38,4.98,2.47,3.14,4.04,5.66,7.56,10.82,12.58,12.92,-26.54,38.95,5.77,14.51,-34.98,64.71,10.73,19.22,39.88,23.63,9.42,29.70,2.16,4.89,8.73,6.16,1.70,7.32,3.87,8.19,21.40,23.69,23.13,25.98,-43.89,115.26,-6.03,88.62,-54.79,141.18,103.01,45.71,107.70,114.11,72.53,93.30,10.74,12.90,17.75,29.23,8.07,20.67,85.99,62.00,72.43,90.25,85.66,98.43,-64.73,242.96,-2.66,139.12,-66.41,234.34,負轉正,58.70,248.66,181.58,168.13,161.40,27.20,18.24,28.96,48.55,10.67,31.75,3264.69,232.17,178.31,188.11,150.69,179.34,-55.44,266.67,-9.09,98.50,-42.91,2.94,負轉正,94.12,275.00,194.88,277.78,6.06,32.56,25.48,35.30,39.65,22.02,0.58,負轉正,256.28,162.26,214.29,189.30,131.90
1110,0.04,-0.05,0.03,0.1,0.03,0.07,0.03,-0.04,-0.02,0.11,0.1,0.22,15.1,14.97,14.92,14.99,14.94,14.93,-2.87,-5.35,-2.83,-0.41,8.35,8.83,-8.83,-10.34,-7.01,-6.90,1.83,2.36,0.27,-0.39,0.18,0.62,0.18,0.47,0.16,-0.44,-0.16,0.68,0.58,1.45,-9.76,-5.90,37.74,25.82,-28.28,-7.95,-8.08,-17.84,52.30,47.16,16.96,14.42,-2.10,-4.98,11.41,12.03,3.48,2.69,-18.01,-18.42,-2.59,16.11,22.73,32.64,-11737.93,負,負,負,負轉正,-2.71,-127.72,-191.38,負,-2837.93,負轉正,負轉正,-454.17,負,負,負,負轉正,3723.24,-128.23,-167.18,-210.83,-520.65,負轉正,負轉正,負,負,負,負,負轉正,18.55,-297.37,-828.46,負,負,負轉正,負轉正,負,負,負,負,負,負,-325.01,-562.49,負,負,負,負,負轉正,-225.00,負轉正,222.98,-69.04,133.33,-80.95,-266.67,負轉正,負轉正,-25.00,負轉正,-86.49,-270.81,負,負轉正,-8.29,116.48,-93.64,-112.15,-108.28,-42.11,293.05,負轉正
1201,0.09,0.01,0.07,1.14,0.23,-0.11,-1.2,-0.6,-0.46,1.31,1.44,1.31,8.94,9.06,9.21,10.22,10.51,10.46,26.14,30.04,33.15,34.38,28.20,31.77,-3.51,1.14,3.39,5.07,-0.59,3.02,2.64,-0.39,0.26,9.56,1.63,-2.27,-10.55,-6.40,-6.61,11.99,11.11,9.16,-11.45,19.87,21.94,-12.91,-14.47,25.37,2.27,-3.69,4.80,12.73,8.88,13.89,0.47,-0.96,1.42,3.00,1.80,3.31,-12.11,-8.14,-2.45,3.94,5.32,9.87,20.11,37.75,34.57,-9.66,-29.84,41.22,11.49,-3.86,7.95,101.13,17.50,20.46,2.11,-1.11,2.77,16.63,2.96,4.64,-10.69,-10.30,-6.04,21.03,22.04,29.13,負,負轉正,262.70,30.22,-109.90,負轉正,負,負轉正,負轉正,負轉正,負,201.93,負,負,負,負轉正,30.95,22.73,負,負,負,負轉正,負轉正,負轉正,負轉正,-88.89,600.00,1528.69,-79.83,-147.83,負轉正,負轉正,負轉正,負轉正,155.56,-1200.00,負,負,負,負轉正,10.25,-9.48,負,負,負,負轉正,負轉正,負轉正
1203,0.37,0.48,0.64,0.37,0.31,0.55,1.76,1.85,2.01,1.86,1.8,1.89,18.54,18.13,18.79,19.12,19.63,18.95,30.99,31.19,34.89,26.11,33.75,31.80,16.68,14.06,19.35,10.61,18.05,12.08,3.08,3.32,4.48,1.02,2.69,3.18,12.62,13.94,14.91,11.76,11.11,11.74,-3.17,-0.79,1.67,0.27,-7.31,3.53,-0.24,-1.99,-5.10,-2.07,-6.26,-2.17,-0.06,-0.49,-1.33,-0.53,-1.56,-0.55,-2.81,-1.96,-0.79,-2.39,-3.85,-3.91,-0.61,-0.13,13.70,-24.94,19.78,-2.44,34.16,11.36,16.95,-15.28,2.09,-0.27,7.03,2.63,4.14,-3.71,0.53,-0.07,16.82,16.68,19.19,10.15,3.45,0.73,9.00,-16.37,39.89,-44.99,57.61,-30.70,76.61,47.54,35.73,-29.84,1.44,-15.95,14.89,8.05,8.52,-6.98,0.39,-3.64,26.66,41.54,44.88,25.32,9.50,-2.35,-29.09,29.73,33.33,-42.08,-16.38,77.42,0.00,14.29,36.17,-28.95,-16.22,14.58,-1.03,5.30,8.28,-7.39,-3.48,5.06,78.51,73.43,89.68,4.49,1.91,1.69
1210,0.74,0.55,0.95,1.03,1.16,0.48,3.03,2.77,2.92,3.28,3.7,3.65,22.06,21.29,22.36,23.41,24.74,22.96,13.42,12.91,14.13,13.41,14.90,13.62,4.28,3.15,4.01,4.37,3.42,2.96,3.11,1.84,3.71,4.19,4.16,1.72,12.92,11.69,11.48,12.66,13.68,14.22,-7.82,-4.37,7.05,3.84,-14.23,4.31,5.85,-2.54,-0.12,-2.02,-8.83,-0.55,1.37,-0.61,-0.03,-0.54,-2.18,-0.13,1.21,0.97,1.86,0.18,-3.33,-2.87,-4.16,-7.98,17.12,-1.46,-4.65,-4.69,4.32,-3.72,9.86,1.78,1.26,4.88,1.05,-0.89,2.45,0.46,0.31,1.10,12.05,5.73,7.17,3.07,2.32,4.38,-0.78,-29.47,35.98,13.37,-32.86,-9.87,13.53,0.01,16.64,7.88,-27.00,-6.71,3.49,0.00,3.87,2.16,-7.20,-1.36,39.43,20.67,20.73,9.82,-1.52,-2.86,9.32,-25.68,72.73,8.72,12.31,-58.62,1.37,-28.57,14.46,52.58,56.76,-12.73,0.76,-8.75,5.51,12.33,12.73,-1.40,122.41,39.11,26.20,8.97,21.91,31.73
